metric,district,school,year,behavior,count,rate,share,enrollment,status_flag
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2018-19,Other Violation of School Rules,16.0,1.22,0.6667,1310.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2019-20,All incidents,49.0,3.6,,1363.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2019-20,Assault,1.0,0.07,0.0204,1363.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2019-20,Drugs and Alcohol,0.0,0.0,0.0,1363.0,None reported
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2019-20,Endangering Behavior,2.0,0.15,0.0408,1363.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2019-20,Weapon Related,0.0,0.0,0.0,1363.0,None reported
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2019-20,Other Violation of School Rules,46.0,3.37,0.9388,1363.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2020-21,All incidents,8.0,0.58,,1376.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2020-21,Assault,0.0,0.0,0.0,1376.0,None reported
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2020-21,Drugs and Alcohol,0.0,0.0,0.0,1376.0,None reported
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2020-21,Endangering Behavior,0.0,0.0,0.0,1376.0,None reported
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2020-21,Weapon Related,0.0,0.0,0.0,1376.0,None reported
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2020-21,Other Violation of School Rules,8.0,0.58,1.0,1376.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2021-22,All incidents,51.0,3.59,,1421.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2021-22,Assault,0.0,0.0,0.0,1421.0,None reported
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2021-22,Drugs and Alcohol,3.0,0.21,0.0588,1421.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2021-22,Endangering Behavior,1.0,0.07,0.0196,1421.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2021-22,Weapon Related,0.0,0.0,0.0,1421.0,None reported
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2021-22,Other Violation of School Rules,47.0,3.31,0.9216,1421.0,
discipline_incidents,Capitol West Academy,Capitol West Academy,2018-19,All incidents,191.0,68.21,,280.0,
discipline_incidents,Capitol West Academy,Capitol West Academy,2018-19,Assault,1.0,0.36,0.0052,280.0,
discipline_incidents,Capitol West Academy,Capitol West Academy,2018-19,Drugs and Alcohol,0.0,0.0,0.0,280.0,None reported
discipline_incidents,Capitol West Academy,Capitol West Academy,2018-19,Endangering Behavior,35.0,12.5,0.1832,280.0,
discipline_incidents,Capitol West Academy,Capitol West Academy,2018-19,Weapon Related,2.0,0.71,0.0105,280.0,
discipline_incidents,Capitol West Academy,Capitol West Academy,2018-19,Other Violation of School Rules,153.0,54.64,0.801,280.0,
discipline_incidents,Capitol West Academy,Capitol West Academy,2019-20,All incidents,117.0,46.43,,252.0,
discipline_incidents,Capitol West Academy,Capitol West Academy,2019-20,Assault,0.0,0.0,0.0,252.0,None reported
discipline_incidents,Capitol West Academy,Capitol West Academy,2019-20,Drugs and Alcohol,1.0,0.4,0.0085,252.0,
discipline_incidents,Capitol West Academy,Capitol West Academy,2019-20,Endangering Behavior,2.0,0.79,0.0171,252.0,
discipline_incidents,Capitol West Academy,Capitol West Academy,2019-20,Weapon Related,0.0,0.0,0.0,252.0,None reported
discipline_incidents,Capitol West Academy,Capitol West Academy,2019-20,Other Violation of School Rules,114.0,45.24,0.9744,252.0,
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2022-23,All incidents,37.0,21.02,,176.0,
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2022-23,Assault,0.0,0.0,0.0,176.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2022-23,Drugs and Alcohol,0.0,0.0,0.0,176.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2022-23,Endangering Behavior,0.0,0.0,0.0,176.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2022-23,Weapon Related,0.0,0.0,0.0,176.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2022-23,Other Violation of School Rules,37.0,21.02,1.0,176.0,
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2023-24,All incidents,2.0,0.97,,206.0,
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2023-24,Assault,2.0,0.97,1.0,206.0,
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2023-24,Drugs and Alcohol,0.0,0.0,0.0,206.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2023-24,Endangering Behavior,0.0,0.0,0.0,206.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2023-24,Weapon Related,0.0,0.0,0.0,206.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2023-24,Other Violation of School Rules,0.0,0.0,0.0,206.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2024-25,All incidents,12.0,6.28,,191.0,
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2024-25,Assault,12.0,6.28,1.0,191.0,
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2024-25,Drugs and Alcohol,0.0,0.0,0.0,191.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2024-25,Endangering Behavior,0.0,0.0,0.0,191.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2024-25,Weapon Related,0.0,0.0,0.0,191.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Carmen Middle School South,2024-25,Other Violation of School Rules,0.0,0.0,0.0,191.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2022-23,All incidents,39.0,16.74,,233.0,
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2022-23,Assault,6.0,2.58,0.1538,233.0,
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2022-23,Drugs and Alcohol,0.0,0.0,0.0,233.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2022-23,Endangering Behavior,8.0,3.43,0.2051,233.0,
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2022-23,Weapon Related,0.0,0.0,0.0,233.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2022-23,Other Violation of School Rules,25.0,10.73,0.641,233.0,
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2023-24,All incidents,14.0,6.45,,217.0,
