metric,group,year,value,yoy_change,pct_change
discipline,Nicolet UHS — All Students,2020-21,14.0,-58.0,-80.55555555555556
discipline,Nicolet Union High School — All Students,2021-22,142.0,,
discipline,Nicolet Union High School — All Students,2022-23,72.0,-70.0,-49.29577464788733
discipline,Nicolet Union High School — All Students,2023-24,50.0,-22.0,-30.555555555555557
discipline,Nicolet Union High School — All Students,2024-25,116.0,66.0,131.99999999999997
discipline,Oak Creek-Franklin Joint — All Students,2018-19,932.0,,
discipline,Oak Creek-Franklin Joint — All Students,2019-20,556.0,-376.0,-40.34334763948498
discipline,Oak Creek-Franklin Joint — All Students,2020-21,288.0,-268.0,-48.201438848920866
discipline,Oak Creek-Franklin Joint — All Students,2021-22,736.0,448.0,155.55555555555554
discipline,Oak Creek-Franklin Joint — All Students,2022-23,874.0,138.0,18.75
discipline,Oak Creek-Franklin Joint — All Students,2023-24,732.0,-142.0,-16.24713958810069
discipline,Oak Creek-Franklin Joint — All Students,2024-25,658.0,-74.0,-10.10928961748634
discipline,Pathways High — All Students,2018-19,0.0,,
discipline,Pathways High — All Students,2019-20,0.0,0.0,
discipline,Pathways High — All Students,2020-21,0.0,0.0,
discipline,Pathways High — All Students,2021-22,2.0,2.0,inf
discipline,Pathways High Inc — All Students,2023-24,0.0,,
discipline,Pathways High Inc — All Students,2024-25,6.0,6.0,inf
discipline,"Pathways High, Inc. — All Students",2022-23,0.0,,
discipline,Penfield Montessori Academy — All Students,2018-19,0.0,,
discipline,Penfield Montessori Academy — All Students,2019-20,10.0,10.0,inf
discipline,Penfield Montessori Academy — All Students,2020-21,0.0,-10.0,-100.0
discipline,Penfield Montessori Academy — All Students,2021-22,0.0,0.0,
discipline,"Penfield Montessori Academy, Inc. — All Students",2022-23,16.0,,
discipline,Rocketship Education Wisconsin Inc — All Students,2018-19,20.0,,
discipline,Rocketship Education Wisconsin Inc — All Students,2019-20,10.0,-10.0,-50.0
discipline,Rocketship Education Wisconsin Inc — All Students,2020-21,0.0,-10.0,-100.0
discipline,Rocketship Education Wisconsin Inc — All Students,2021-22,0.0,0.0,
discipline,Rocketship Education Wisconsin Inc — All Students,2023-24,210.0,210.0,inf
discipline,Rocketship Education Wisconsin Inc — All Students,2024-25,118.0,-92.0,-43.80952380952381
discipline,"Rocketship Education Wisconsin, Inc. — All Students",2022-23,36.0,,
discipline,Saint Francis — All Students,2018-19,304.0,,
discipline,Saint Francis — All Students,2019-20,206.0,-98.0,-32.23684210526315
discipline,Saint Francis — All Students,2020-21,72.0,-134.0,-65.04854368932038
discipline,Saint Francis — All Students,2021-22,238.0,166.0,230.55555555555554
discipline,Saint Francis — All Students,2022-23,202.0,-36.0,-15.126050420168069
discipline,Saint Francis — All Students,2023-24,174.0,-28.0,-13.861386138613863
discipline,Saint Francis — All Students,2024-25,256.0,82.0,47.12643678160919
