metric,dimension,group,district,school,year,value,count,status_flag
chronic_absenteeism,Disability Status,SwD,Downtown Montessori Academy,Downtown Montessori,2019-20,,15.0,Group under 20 students — rate omitted
chronic_absenteeism,Disability Status,SwoD,Downtown Montessori Academy,Downtown Montessori,2019-20,1.7,240.0,
chronic_absenteeism,Disability Status,SwD,Downtown Montessori Academy,Downtown Montessori,2020-21,,12.0,Group under 20 students — rate omitted
chronic_absenteeism,Disability Status,SwoD,Downtown Montessori Academy,Downtown Montessori,2020-21,1.7,231.0,
chronic_absenteeism,Disability Status,SwD,Downtown Montessori Academy,Downtown Montessori,2021-22,,16.0,Group under 20 students — rate omitted
chronic_absenteeism,Disability Status,SwoD,Downtown Montessori Academy,Downtown Montessori,2021-22,16.7,186.0,
chronic_absenteeism,Disability Status,SwD,Downtown Montessori Academy,Downtown Montessori,2022-23,,12.0,Group under 20 students — rate omitted
chronic_absenteeism,Disability Status,SwoD,Downtown Montessori Academy,Downtown Montessori,2022-23,16.7,192.0,
chronic_absenteeism,Disability Status,SwD,Downtown Montessori Academy,Downtown Montessori,2023-24,8.3,24.0,
chronic_absenteeism,Disability Status,SwoD,Downtown Montessori Academy,Downtown Montessori,2023-24,10.1,169.0,
chronic_absenteeism,Disability Status,SwD,Downtown Montessori Academy,Downtown Montessori,2024-25,18.5,27.0,
chronic_absenteeism,Disability Status,SwoD,Downtown Montessori Academy,Downtown Montessori,2024-25,6.4,157.0,
chronic_absenteeism,Disability Status,SwD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2019-20,23.1,52.0,
chronic_absenteeism,Disability Status,SwoD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2019-20,28.1,235.0,
chronic_absenteeism,Disability Status,SwD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2020-21,13.2,53.0,
chronic_absenteeism,Disability Status,SwoD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2020-21,17.1,257.0,
chronic_absenteeism,Disability Status,SwD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2021-22,1.6,63.0,
chronic_absenteeism,Disability Status,SwoD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2021-22,3.9,255.0,
chronic_absenteeism,Disability Status,SwD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2022-23,51.9,54.0,
chronic_absenteeism,Disability Status,SwoD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2022-23,63.1,244.0,
chronic_absenteeism,Disability Status,SwD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2023-24,62.2,45.0,
chronic_absenteeism,Disability Status,SwoD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2023-24,60.4,225.0,
chronic_absenteeism,Disability Status,SwD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2024-25,52.1,73.0,
chronic_absenteeism,Disability Status,SwoD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2024-25,53.8,483.0,
chronic_absenteeism,Disability Status,SwD,Escuela Verde,Escuela Verde,2018-19,39.1,23.0,
chronic_absenteeism,Disability Status,SwoD,Escuela Verde,Escuela Verde,2018-19,34.1,91.0,
chronic_absenteeism,Disability Status,SwD,Escuela Verde,Escuela Verde,2019-20,25.8,31.0,
chronic_absenteeism,Disability Status,SwoD,Escuela Verde,Escuela Verde,2019-20,39.8,83.0,
chronic_absenteeism,Disability Status,SwD,Escuela Verde,Escuela Verde,2020-21,0.0,26.0,
chronic_absenteeism,Disability Status,SwoD,Escuela Verde,Escuela Verde,2020-21,14.9,94.0,
chronic_absenteeism,Disability Status,SwD,Escuela Verde,Escuela Verde,2021-22,40.0,25.0,
chronic_absenteeism,Disability Status,SwoD,Escuela Verde,Escuela Verde,2021-22,34.0,94.0,
chronic_absenteeism,Disability Status,SwD,Fox Point J2,Bayside Middle,2018-19,6.7,30.0,
chronic_absenteeism,Disability Status,SwoD,Fox Point J2,Bayside Middle,2018-19,5.9,320.0,
