district,school,city,is_city
Milwaukee,Pratt Elementary,Milwaukee,True
Milwaukee,Project STAY-Supporting Teachers and Youth,Milwaukee,True
Milwaukee,Pulaski High,Milwaukee,True
Milwaukee,Reagan College Preparatory High,Milwaukee,True
Milwaukee,Riley Dual Language Montessori School,Milwaukee,True
Milwaukee,River Trail School of Agricultural Science,Milwaukee,True
Milwaukee,Riverside High,Milwaukee,True
Milwaukee,Riverwest Elementary,Milwaukee,True
Milwaukee,Rogers Street Academy,Milwaukee,True
Milwaukee,Roosevelt Middle,Milwaukee,True
Milwaukee,Shalom High,Milwaukee,True
Milwaukee,Sherman Elementary,Milwaukee,True
Milwaukee,Siefert Elementary,Milwaukee,True
Milwaukee,South Accelerated Academy,Milwaukee,True
Milwaukee,South Division High,Milwaukee,True
Milwaukee,Southeastern,Milwaukee,True
Milwaukee,Starms Discovery,Milwaukee,True
Milwaukee,Starms Early Childhood,Milwaukee,True
Milwaukee,Story Elementary,Milwaukee,True
Milwaukee,Stuart Elementary,Milwaukee,True
Milwaukee,Thoreau Elementary,Milwaukee,True
Milwaukee,Thurston Woods Elementary,Milwaukee,True
Milwaukee,Townsend Street Elementary,Milwaukee,True
Milwaukee,Transition High,Milwaukee,True
Milwaukee,Trowbridge Street School of Great Lakes Studies,Milwaukee,True
Milwaukee,U S Grant School,Milwaukee,True
Milwaukee,Victory Elementary,Milwaukee,True
Milwaukee,Vieau Elementary,Milwaukee,True
Milwaukee,Vincent Accelerated Academy,Milwaukee,True
Milwaukee,WHS Information Technology,Milwaukee,True
Milwaukee,Wedgewood Park School,Milwaukee,True
Milwaukee,Westside Academy,Milwaukee,True
Milwaukee,Whitman Elementary,Milwaukee,True
Milwaukee,Whittier Elementary,Milwaukee,True
Milwaukee,Wisconsin Conservatory of Lifelong Learning,Milwaukee,True
Milwaukee,Zablocki Elementary,Milwaukee,True
Milwaukee Academy of Science,Milwaukee Academy of Science,Milwaukee,True
Milwaukee Collegiate Academy,Milwaukee Collegiate Academy,Milwaukee,True
Milwaukee Math and Science Academy,Milwaukee Math and Science Academy,Milwaukee,True
Milwaukee Scholars Charter School,Milwaukee Scholars Charter School,Milwaukee,True
Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee (inferred),True
Nicolet Union High School,Nicolet High,Glendale,False
Oak Creek-Franklin Joint,Carollton Elementary,Oak Creek,False
Oak Creek-Franklin Joint,Cedar Hills Elementary,Oak Creek,False
Oak Creek-Franklin Joint,Deerfield Elementary,Oak Creek,False
Oak Creek-Franklin Joint,Early Learning Academy,Oak Creek,False
Oak Creek-Franklin Joint,Edgewood Elementary,Oak Creek,False
Oak Creek-Franklin Joint,Forest Ridge Elementary,Oak Creek,False
Oak Creek-Franklin Joint,Meadowview Elementary,Oak Creek,False
Oak Creek-Franklin Joint,Oak Creek East Middle,Oak Creek,False
Oak Creek-Franklin Joint,Oak Creek High,Oak Creek,False
Oak Creek-Franklin Joint,Oak Creek West Middle,Oak Creek,False
Oak Creek-Franklin Joint,Shepard Hills Elementary,Oak Creek,False
Pathways High,Pathways High,Milwaukee,True
Penfield Montessori Academy,Penfield Montessori Academy,Milwaukee,True
Rocketship Education Wisconsin,Rocketship Southside Community Prep,Milwaukee,True
Rocketship Education Wisconsin,Rocketship Transformation Prep,Milwaukee,True
Saint Francis,Deer Creek Intermediate,Saint Francis,False
Saint Francis,Elkhorn Options Virtual School,suburban (inferred),False
Saint Francis,Saint Francis High,Saint Francis,False
Saint Francis,Willow Glen Primary School,Saint Francis,False
School for Early Development and Achievement (SEDA),School for Early Development and Achievement (SEDA),Milwaukee (inferred),True
Seeds of Health,Seeds of Health Elementary Program,Milwaukee,True
Seeds of Health,Tenor High,Milwaukee,True
Seeds of Health,Veritas High,Milwaukee,True
Shorewood,Atwater Elementary,Shorewood,False
Shorewood,Lake Bluff Elementary,Shorewood,False
Shorewood,New Horizons for Learning,Shorewood,False
Shorewood,Shorewood High,Shorewood,False
Shorewood,Shorewood Intermediate,Shorewood,False
South Milwaukee,Blakewood Elementary,South Milwaukee,False
South Milwaukee,E W Luther Elementary,South Milwaukee,False
South Milwaukee,Lakeview Elementary,South Milwaukee,False
South Milwaukee,Rawson Elementary,South Milwaukee,False
South Milwaukee,South Milwaukee High,South Milwaukee,False
South Milwaukee,South Milwaukee Middle,South Milwaukee,False
Stellar Collegiate Charter School,Stellar Collegiate Charter School,Milwaukee,True
Trans Center for Youth,Escuela Verde,Milwaukee (inferred),True
United Community Center,Bruce Guadalupe,Milwaukee (inferred),True
