district,school,year,groups_compared,highest_group,highest_rate,lowest_group,lowest_rate,high_low_ratio,black_rate,white_rate,black_white_ratio,black_overrep_index,black_enrollment
Wauwatosa,Longfellow Middle,2024-25,4,Black,47.31,Two or More,0.0,,47.31,2.2,21.5,5.16,93.0
Wauwatosa,Madison Elementary,2024-25,5,Two or More,20.0,Asian,0.0,,1.25,0.0,,0.46,80.0
Wauwatosa,McKinley Elementary,2024-25,3,Black,13.89,White,0.0,,13.89,0.0,,6.41,36.0
Wauwatosa,Roosevelt Elementary,2024-25,4,Hispanic,25.0,Two or More,0.0,,10.34,2.21,4.68,2.02,58.0
Wauwatosa,Underwood Elementary,2024-25,5,Black,9.09,Asian,0.0,,9.09,1.68,5.41,2.17,88.0
Wauwatosa,Washington Elementary,2024-25,3,Black,25.0,Hispanic,0.0,,25.0,0.0,,10.92,24.0
Wauwatosa,Wauwatosa Montessori School,2024-25,2,Two or More,0.0,Two or More,0.0,,,0.0,,,
Wauwatosa,Wauwatosa Virtual Academy,2024-25,2,Black,0.0,Black,0.0,,0.0,0.0,,,37.0
Wauwatosa,West High,2024-25,5,Black,31.32,Asian,0.0,,31.32,4.71,6.65,2.32,265.0
Wauwatosa,Whitman Middle,2024-25,5,Black,43.67,Asian,0.0,,43.67,3.5,12.48,2.53,158.0
Wauwatosa,Wilson Elementary,2024-25,3,Black,4.76,White,0.0,,4.76,0.0,,4.57,21.0
West Allis-West Milwaukee,Central High,2024-25,5,Black,46.53,Asian,0.0,,46.53,15.38,3.03,1.89,144.0
West Allis-West Milwaukee,Deeper Learning Virtual Academy,2024-25,2,Hispanic,0.0,Hispanic,0.0,,,0.0,,,
West Allis-West Milwaukee,Frank Lloyd Wright Intermediate,2024-25,5,Black,32.61,Asian,0.0,,32.61,8.55,3.81,2.71,92.0
West Allis-West Milwaukee,Irving Elementary,2024-25,5,Hispanic,9.47,Asian,0.0,,2.44,1.78,1.37,0.61,41.0
West Allis-West Milwaukee,Jefferson Elementary,2024-25,5,Two or More,17.39,Asian,0.0,,10.0,6.3,1.59,1.56,40.0
West Allis-West Milwaukee,Wilson Elementary,2024-25,4,Black,43.18,Hispanic,0.0,,43.18,2.58,16.74,4.29,44.0
Whitefish Bay,Cumberland Elementary,2024-25,5,Asian,0.0,Asian,0.0,,0.0,0.0,,,23.0
Whitefish Bay,Richards Elementary,2024-25,4,White,0.56,Asian,0.0,,,0.56,,,
Whitefish Bay,Whitefish Bay High,2024-25,5,White,0.15,Asian,0.0,,0.0,0.15,0.0,0.0,65.0
Whitefish Bay,Whitefish Bay Middle,2024-25,5,Two or More,9.43,Asian,0.0,,0.0,0.86,0.0,0.0,29.0
Whitnall,Edgerton Elementary,2024-25,3,Hispanic,2.82,Asian,0.0,,,2.73,,,
Whitnall,Whitnall High,2024-25,5,Black,26.19,Asian,0.0,,26.19,9.51,2.75,2.58,42.0
