metric,district,school,group,year,value,yoy_change,pct_change,status_flag
chronic_absenteeism,Greendale,Greendale High,Greendale High — All Students,2020-21,9.3,4.2,82.4,
chronic_absenteeism,Greendale,Greendale High,Greendale High — All Students,2021-22,12.2,2.9,31.2,
chronic_absenteeism,Greendale,Greendale High,Greendale High — All Students,2022-23,14.0,1.8,14.8,
chronic_absenteeism,Greendale,Greendale High,Greendale High — All Students,2023-24,12.1,-1.9,-13.6,
chronic_absenteeism,Greendale,Greendale High,Greendale High — All Students,2024-25,13.2,1.1,9.1,
chronic_absenteeism,Greendale,Greendale Middle,Greendale Middle — All Students,2018-19,4.7,,,
chronic_absenteeism,Greendale,Greendale Middle,Greendale Middle — All Students,2019-20,5.0,0.3,6.4,
chronic_absenteeism,Greendale,Greendale Middle,Greendale Middle — All Students,2020-21,100.0,95.0,1900.0,
chronic_absenteeism,Greendale,Greendale Middle,Greendale Middle — All Students,2021-22,6.7,-93.3,-93.3,
chronic_absenteeism,Greendale,Greendale Middle,Greendale Middle — All Students,2022-23,5.8,-0.9,-13.4,
chronic_absenteeism,Greendale,Greendale Middle,Greendale Middle — All Students,2023-24,5.6,-0.2,-3.4,
chronic_absenteeism,Greendale,Greendale Middle,Greendale Middle — All Students,2024-25,4.4,-1.2,-21.4,
chronic_absenteeism,Greendale,Highland View Elementary,Highland View Elementary — All Students,2018-19,5.8,,,
chronic_absenteeism,Greendale,Highland View Elementary,Highland View Elementary — All Students,2019-20,4.5,-1.3,-22.4,
chronic_absenteeism,Greendale,Highland View Elementary,Highland View Elementary — All Students,2020-21,14.3,9.8,217.8,
chronic_absenteeism,Greendale,Highland View Elementary,Highland View Elementary — All Students,2021-22,3.6,-10.7,-74.8,
chronic_absenteeism,Greendale,Highland View Elementary,Highland View Elementary — All Students,2022-23,6.6,3.0,83.3,
chronic_absenteeism,Greendale,Highland View Elementary,Highland View Elementary — All Students,2023-24,4.7,-1.9,-28.8,
chronic_absenteeism,Greendale,Highland View Elementary,Highland View Elementary — All Students,2024-25,6.8,2.1,44.7,
chronic_absenteeism,Greenfield,Edgewood Elementary,Edgewood Elementary — All Students,2018-19,4.2,,,
chronic_absenteeism,Greenfield,Edgewood Elementary,Edgewood Elementary — All Students,2019-20,2.4,-1.8,-42.9,
chronic_absenteeism,Greenfield,Edgewood Elementary,Edgewood Elementary — All Students,2020-21,9.3,6.9,287.5,
chronic_absenteeism,Greenfield,Edgewood Elementary,Edgewood Elementary — All Students,2021-22,11.7,2.4,25.8,
chronic_absenteeism,Greenfield,Edgewood Elementary,Edgewood Elementary — All Students,2022-23,8.4,-3.3,-28.2,
chronic_absenteeism,Greenfield,Edgewood Elementary,Edgewood Elementary — All Students,2023-24,8.6,0.2,2.4,
chronic_absenteeism,Greenfield,Edgewood Elementary,Edgewood Elementary — All Students,2024-25,7.3,-1.3,-15.1,
chronic_absenteeism,Greenfield,Elm Dale Elementary,Elm Dale Elementary — All Students,2018-19,4.3,,,
chronic_absenteeism,Greenfield,Elm Dale Elementary,Elm Dale Elementary — All Students,2019-20,2.4,-1.9,-44.2,
