metric,group,year,value,pct_change
discipline,Stellar Collegiate Charter School — All Students,2020-21,0.0,-100.0
discipline,Stellar Collegiate Charter School — All Students,2021-22,75.0,inf
discipline,United Community Center Acosta Middle — All Students,2019-20,46.0,-52.1
discipline,United Community Center Acosta Middle — All Students,2020-21,10.0,-78.3
discipline,United Community Center Inc — All Students,2024-25,114.0,-46.2
discipline,Wauwatosa — All Students,2019-20,806.0,29.6
discipline,Wauwatosa — All Students,2020-21,268.0,-66.7
discipline,Wauwatosa — All Students,2021-22,1240.0,362.7
discipline,West Allis-West Milwaukee — All Students,2019-20,886.0,-25.4
discipline,West Allis-West Milwaukee — All Students,2020-21,76.0,-91.4
discipline,West Allis-West Milwaukee — All Students,2021-22,1190.0,1465.8
discipline,West Allis-West Milwaukee — All Students,2024-25,1814.0,30.9
discipline,Whitefish Bay — All Students,2019-20,84.0,-20.8
discipline,Whitefish Bay — All Students,2020-21,28.0,-66.7
discipline,Whitefish Bay — All Students,2021-22,118.0,321.4
discipline,Whitefish Bay — All Students,2023-24,164.0,30.2
discipline,Whitefish Bay — All Students,2024-25,26.0,-84.1
discipline,Whitnall — All Students,2019-20,236.0,-37.9
discipline,Whitnall — All Students,2020-21,112.0,-52.5
discipline,Whitnall — All Students,2021-22,382.0,241.1
discipline,Whitnall — All Students,2023-24,228.0,-46.7
discipline,Whitnall — All Students,2024-25,294.0,28.9
discipline,Woodlands School — All Students,2019-20,24.0,1100.0
discipline,Woodlands School — All Students,2020-21,0.0,-100.0
discipline,Woodlands School — All Students,2021-22,20.0,inf
discipline,Woodlands School - State Street Campus — All Students,2019-20,4.0,-94.6
discipline,Woodlands School - State Street Campus — All Students,2020-21,0.0,-100.0
discipline,Woodlands School Inc — All Students,2024-25,126.0,43.2
