metric,dimension,group,district,school,year,value,share,status_flag
enrollment,Disability Status,SwoD,Downtown Montessori Academy,Downtown Montessori,2024-25,199.0,0.9128,
enrollment,Disability Status,SwD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2019-20,39.0,0.13,
enrollment,Disability Status,SwoD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2019-20,261.0,0.87,
enrollment,Disability Status,SwD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2020-21,50.0,0.1603,
enrollment,Disability Status,SwoD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2020-21,262.0,0.8397,
enrollment,Disability Status,SwD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2021-22,56.0,0.1723,
enrollment,Disability Status,SwoD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2021-22,269.0,0.8277,
enrollment,Disability Status,SwD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2022-23,54.0,0.1631,
enrollment,Disability Status,SwoD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2022-23,277.0,0.8369,
enrollment,Disability Status,SwD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2023-24,47.0,0.1506,
enrollment,Disability Status,SwoD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2023-24,265.0,0.8494,
enrollment,Disability Status,SwD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2024-25,82.0,0.1349,
enrollment,Disability Status,SwoD,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2024-25,526.0,0.8651,
enrollment,Disability Status,SwD,Escuela Verde,Escuela Verde,2018-19,25.0,0.2083,
enrollment,Disability Status,SwoD,Escuela Verde,Escuela Verde,2018-19,95.0,0.7917,
enrollment,Disability Status,SwD,Escuela Verde,Escuela Verde,2019-20,30.0,0.2542,
enrollment,Disability Status,SwoD,Escuela Verde,Escuela Verde,2019-20,88.0,0.7458,
enrollment,Disability Status,SwD,Escuela Verde,Escuela Verde,2020-21,25.0,0.2101,
enrollment,Disability Status,SwoD,Escuela Verde,Escuela Verde,2020-21,94.0,0.7899,
enrollment,Disability Status,SwD,Escuela Verde,Escuela Verde,2021-22,26.0,0.2167,
enrollment,Disability Status,SwoD,Escuela Verde,Escuela Verde,2021-22,94.0,0.7833,
enrollment,Disability Status,SwD,Fox Point J2,Bayside Middle,2018-19,34.0,0.0983,
enrollment,Disability Status,SwoD,Fox Point J2,Bayside Middle,2018-19,312.0,0.9017,
enrollment,Disability Status,SwD,Fox Point J2,Bayside Middle,2019-20,33.0,0.0924,
enrollment,Disability Status,SwoD,Fox Point J2,Bayside Middle,2019-20,324.0,0.9076,
enrollment,Disability Status,SwoD,Fox Point J2,Bayside Middle,2020-21,370.0,1.0,
enrollment,Disability Status,SwD,Fox Point J2,Bayside Middle,2021-22,44.0,0.1212,
enrollment,Disability Status,SwoD,Fox Point J2,Bayside Middle,2021-22,319.0,0.8788,
enrollment,Disability Status,SwD,Fox Point J2,Bayside Middle,2022-23,38.0,0.1118,
enrollment,Disability Status,SwoD,Fox Point J2,Bayside Middle,2022-23,302.0,0.8882,
enrollment,Disability Status,SwD,Fox Point J2,Bayside Middle,2023-24,48.0,0.1408,
enrollment,Disability Status,SwoD,Fox Point J2,Bayside Middle,2023-24,293.0,0.8592,
enrollment,Disability Status,SwD,Fox Point J2,Bayside Middle,2024-25,48.0,0.1412,
enrollment,Disability Status,SwoD,Fox Point J2,Bayside Middle,2024-25,292.0,0.8588,
enrollment,Disability Status,SwD,Fox Point J2,Stormonth Elementary,2018-19,44.0,0.0984,
enrollment,Disability Status,SwoD,Fox Point J2,Stormonth Elementary,2018-19,403.0,0.9016,
