metric,category,unit,district,school,group,year,value,yoy_change,pct_change,status_flag,enrollment
discipline,suspension,rate,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2021-22,0.48,-1.8900000000000001,-79.74683544303798,Small count (<10 removals) — rate imprecise,209.0
discipline,suspension,rate,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2022-23,0.53,0.050000000000000044,10.416666666666675,"Authorizer/reporting changed to United Community Center, 2022-23; Small count (<10 removals) — rate imprecise",188.0
discipline,suspension,rate,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2023-24,15.0,14.47,2730.188679245283,,180.0
discipline,suspension,rate,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2024-25,7.45,-7.55,-50.33333333333333,,188.0
discipline,expulsion,count,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2018-19,0.0,,,Zero expulsions reported,168.0
discipline,expulsion,count,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2019-20,0.0,0.0,,Zero expulsions reported,178.0
discipline,expulsion,count,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2020-21,0.0,0.0,,Zero expulsions reported,211.0
discipline,expulsion,count,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2021-22,0.0,0.0,,Zero expulsions reported,209.0
discipline,expulsion,count,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2022-23,0.0,0.0,,"Authorizer/reporting changed to United Community Center, 2022-23; Zero expulsions reported",188.0
discipline,expulsion,count,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2023-24,0.0,0.0,,Zero expulsions reported,180.0
discipline,expulsion,count,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2024-25,0.0,0.0,,Zero expulsions reported,188.0
discipline,all,rate,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2018-19,11.86,,,,312.0
discipline,all,rate,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2019-20,0.58,-11.28,-95.1096121416526,Small count (<10 removals) — rate imprecise,345.0
discipline,all,rate,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2020-21,0.0,-0.58,-100.0,Zero suspensions/expulsions reported,273.0
discipline,all,rate,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2021-22,0.0,0.0,,Zero suspensions/expulsions reported,254.0
discipline,all,rate,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2022-23,0.0,0.0,,"Authorizer/reporting changed to Woodlands School, 2022-23; Zero suspensions/expulsions reported",257.0
discipline,all,rate,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2023-24,18.69,18.69,,,198.0
discipline,all,rate,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2024-25,17.71,-0.9800000000000004,-5.243445692883897,,175.0
discipline,suspension,rate,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2018-19,11.86,,,,312.0
discipline,suspension,rate,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2019-20,0.58,-11.28,-95.1096121416526,Small count (<10 removals) — rate imprecise,345.0
discipline,suspension,rate,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2020-21,0.0,-0.58,-100.0,Zero out-of-school suspensions reported,273.0
discipline,suspension,rate,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2021-22,0.0,0.0,,Zero out-of-school suspensions reported,254.0
discipline,suspension,rate,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2022-23,0.0,0.0,,"Authorizer/reporting changed to Woodlands School, 2022-23; Zero out-of-school suspensions reported",257.0
discipline,suspension,rate,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2023-24,18.69,18.69,,,198.0
discipline,suspension,rate,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2024-25,17.71,-0.9800000000000004,-5.243445692883897,,175.0
discipline,expulsion,count,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2018-19,0.0,,,Zero expulsions reported,312.0
discipline,expulsion,count,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2019-20,0.0,0.0,,Zero expulsions reported,345.0
