metric,subject,dimension,district,school,year,focus_group,focus_rate,reference_group,reference_rate,focus_reference_ratio,highest_group,highest_rate,lowest_group,lowest_rate,high_low_ratio
forward,ela,Disability Status,Milwaukee,Hawley Environmental School,2024-25,SwoD,13.8,SwD,10.7,1.29,SwoD,13.8,SwD,10.7,1.29
forward,ela,Disability Status,Milwaukee,Hartford Avenue Elementary,2024-25,SwoD,5.6,SwD,4.8,1.17,SwoD,5.6,SwD,4.8,1.17
forward,ela,Disability Status,Fox Point J2,Stormonth Elementary,2024-25,SwoD,88.5,SwD,76.2,1.16,SwoD,88.5,SwD,76.2,1.16
forward,ela,Disability Status,Milwaukee,Audubon Technology and Communication Middle,2024-25,SwoD,16.5,SwD,0.0,,SwoD,16.5,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Brown Street Academy,2024-25,SwoD,10.6,SwD,0.0,,SwoD,10.6,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Browning Elementary,2024-25,SwoD,16.2,SwD,0.0,,SwoD,16.2,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Burbank Elementary,2024-25,SwoD,19.8,SwD,0.0,,SwoD,19.8,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Carmen Middle/High School of Science and Technology Northwest Campus,2024-25,SwoD,21.9,SwD,0.0,,SwoD,21.9,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Carver Academy,2024-25,SwoD,17.5,SwD,0.0,,SwoD,17.5,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Cass Street Elementary,2024-25,SwoD,12.2,SwD,0.0,,SwoD,12.2,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Congress Elementary,2024-25,SwoD,17.5,SwD,0.0,,SwoD,17.5,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Eighty-First Street Elementary,2024-25,SwoD,7.0,SwD,0.0,,SwoD,7.0,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Emerson Elementary,2024-25,SwoD,12.2,SwD,0.0,,SwoD,12.2,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Engleburg Elementary,2024-25,SwoD,22.2,SwD,0.0,,SwoD,22.2,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Fifty-Third Street Elementary,2024-25,SwoD,10.8,SwD,0.0,,SwoD,10.8,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Franklin Elementary,2024-25,SwoD,14.5,SwD,0.0,,SwoD,14.5,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Gaenslen Elementary,2024-25,SwoD,9.7,SwD,0.0,,SwoD,9.7,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Goodrich Elementary,2024-25,SwoD,25.3,SwD,0.0,,SwoD,25.3,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Green Tree Preparatory Academy,2024-25,SwoD,7.0,SwD,0.0,,SwoD,7.0,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Holmes Elementary,2024-25,SwoD,15.8,SwD,0.0,,SwoD,15.8,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Honey Creek Elementary,2024-25,SwoD,48.1,SwD,0.0,,SwoD,48.1,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Jackson Elementary,2024-25,SwoD,12.0,SwD,0.0,,SwoD,12.0,SwD,0.0,
forward,ela,Disability Status,Milwaukee,King International Baccalaureate Middle,2024-25,SwoD,6.2,SwD,0.0,,SwoD,6.2,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Lincoln Avenue Elementary,2024-25,SwoD,18.9,SwD,0.0,,SwoD,18.9,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Metcalfe Elementary,2024-25,SwoD,7.0,SwD,0.0,,SwoD,7.0,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Milwaukee Academy of Chinese Language,2024-25,SwoD,18.1,SwD,0.0,,SwoD,18.1,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Milwaukee Sign Language Elementary,2024-25,SwoD,13.5,SwD,0.0,,SwoD,13.5,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Mitchell Elementary,2024-25,SwoD,8.4,SwD,0.0,,SwoD,8.4,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Parkview Elementary,2024-25,SwoD,27.0,SwD,0.0,,SwoD,27.0,SwD,0.0,
forward,ela,Disability Status,Milwaukee,Starms Discovery,2024-25,SwoD,9.7,SwD,0.0,,SwoD,9.7,SwD,0.0,
forward,ela,Disability Status,United Community Center,United Community Center Acosta Middle School,2024-25,SwoD,36.6,SwD,0.0,,SwoD,36.6,SwD,0.0,
forward,ela,EL Status,Greendale,Greendale Middle,2024-25,Eng Prof,74.2,EL,4.2,17.67,Eng Prof,74.2,EL,4.2,17.67
forward,ela,EL Status,South Milwaukee,South Milwaukee Middle,2024-25,Eng Prof,39.8,EL,2.5,15.92,Eng Prof,39.8,EL,2.5,15.92
forward,ela,EL Status,Milwaukee,Riley Dual Language Montessori School,2024-25,Eng Prof,41.9,EL,4.7,8.91,Eng Prof,41.9,EL,4.7,8.91
forward,ela,EL Status,West Allis-West Milwaukee,Frank Lloyd Wright Intermediate,2024-25,Eng Prof,49.9,EL,5.6,8.91,Eng Prof,49.9,EL,5.6,8.91
forward,ela,EL Status,Oak Creek-Franklin Joint,Oak Creek East Middle,2024-25,Eng Prof,62.8,EL,7.1,8.85,Eng Prof,62.8,EL,7.1,8.85
forward,ela,EL Status,Milwaukee,Milwaukee School of Languages,2024-25,Eng Prof,38.1,EL,5.9,6.46,Eng Prof,38.1,EL,5.9,6.46
forward,ela,EL Status,Milwaukee,Hayes Bilingual School,2024-25,Eng Prof,63.9,EL,10.0,6.39,Eng Prof,63.9,EL,10.0,6.39
forward,ela,EL Status,Wauwatosa,Whitman Middle,2024-25,Eng Prof,52.2,EL,8.7,6.0,Eng Prof,52.2,EL,8.7,6.0
forward,ela,EL Status,United Community Center,United Community Center Acosta Middle School,2024-25,Eng Prof,44.3,EL,8.5,5.21,Eng Prof,44.3,EL,8.5,5.21
forward,ela,EL Status,Cudahy,Cudahy Middle,2024-25,Eng Prof,40.6,EL,8.3,4.89,Eng Prof,40.6,EL,8.3,4.89
forward,ela,EL Status,Greenfield,Greenfield Middle,2024-25,Eng Prof,52.3,EL,10.9,4.8,Eng Prof,52.3,EL,10.9,4.8
forward,ela,EL Status,Milwaukee,Manitoba Elementary,2024-25,Eng Prof,15.7,EL,3.3,4.76,Eng Prof,15.7,EL,3.3,4.76
forward,ela,EL Status,Milwaukee,Vieau Elementary,2024-25,Eng Prof,32.7,EL,7.3,4.48,Eng Prof,32.7,EL,7.3,4.48
forward,ela,EL Status,Milwaukee,Greenfield Bilingual,2024-25,Eng Prof,41.6,EL,9.6,4.33,Eng Prof,41.6,EL,9.6,4.33
forward,ela,EL Status,Milwaukee,Lincoln Avenue Elementary,2024-25,Eng Prof,26.3,EL,6.1,4.31,Eng Prof,26.3,EL,6.1,4.31
forward,ela,EL Status,Franklin Public,Forest Park Middle,2024-25,Eng Prof,75.0,EL,18.2,4.12,Eng Prof,75.0,EL,18.2,4.12
forward,ela,EL Status,Milwaukee,ALBA - Academia de Lenguaje y Bellas Artes,2024-25,Eng Prof,68.2,EL,18.7,3.65,Eng Prof,68.2,EL,18.7,3.65
forward,ela,EL Status,Milwaukee,Wedgewood Park School,2024-25,Eng Prof,31.1,EL,8.7,3.57,Eng Prof,31.1,EL,8.7,3.57
forward,ela,EL Status,Milwaukee,Forest Home Elementary,2024-25,Eng Prof,27.5,EL,7.8,3.53,Eng Prof,27.5,EL,7.8,3.53
forward,ela,EL Status,Milwaukee,Fratney Elementary,2024-25,Eng Prof,32.1,EL,9.1,3.53,Eng Prof,32.1,EL,9.1,3.53
forward,ela,EL Status,Milwaukee,Morgandale Elementary,2024-25,Eng Prof,29.6,EL,8.8,3.36,Eng Prof,29.6,EL,8.8,3.36
forward,ela,EL Status,United Community Center,Bruce Guadalupe,2024-25,Eng Prof,56.0,EL,17.4,3.22,Eng Prof,56.0,EL,17.4,3.22
forward,ela,EL Status,Milwaukee,Rogers Street Academy,2024-25,Eng Prof,31.9,EL,10.2,3.13,Eng Prof,31.9,EL,10.2,3.13
forward,ela,EL Status,Milwaukee,Audubon Technology and Communication Middle,2024-25,Eng Prof,17.1,EL,5.7,3.0,Eng Prof,17.1,EL,5.7,3.0
forward,ela,EL Status,Milwaukee,Curtin Elementary,2024-25,Eng Prof,32.7,EL,11.0,2.97,Eng Prof,32.7,EL,11.0,2.97
forward,ela,EL Status,Milwaukee,Mitchell Elementary,2024-25,Eng Prof,11.8,EL,4.0,2.95,Eng Prof,11.8,EL,4.0,2.95
forward,ela,EL Status,West Allis-West Milwaukee,West Milwaukee Intermediate,2024-25,Eng Prof,37.7,EL,13.2,2.86,Eng Prof,37.7,EL,13.2,2.86
forward,ela,EL Status,Milwaukee,Milwaukee Parkside School,2024-25,Eng Prof,46.2,EL,16.3,2.83,Eng Prof,46.2,EL,16.3,2.83
forward,ela,EL Status,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2024-25,Eng Prof,35.7,EL,13.0,2.75,Eng Prof,35.7,EL,13.0,2.75
forward,ela,EL Status,Milwaukee,IDEAL Individualized Developmental Educational Approaches to Learning,2024-25,Eng Prof,47.1,EL,17.2,2.74,Eng Prof,47.1,EL,17.2,2.74
forward,ela,EL Status,Milwaukee,Doerfler Elementary,2024-25,Eng Prof,22.8,EL,8.5,2.68,Eng Prof,22.8,EL,8.5,2.68
forward,ela,EL Status,Milwaukee,U S Grant School,2024-25,Eng Prof,32.3,EL,12.1,2.67,Eng Prof,32.3,EL,12.1,2.67
forward,ela,EL Status,Milwaukee,Victory Elementary,2024-25,Eng Prof,34.7,EL,13.4,2.59,Eng Prof,34.7,EL,13.4,2.59
forward,ela,EL Status,Milwaukee,La Causa Charter School,2024-25,Eng Prof,35.1,EL,13.7,2.56,Eng Prof,35.1,EL,13.7,2.56
