metric,dimension,group,subject,unit,district,school,year,value,pct_below,tested,status_flag
forward,Disability Status,SwoD,ela,pct,Rocketship Education Wisconsin,Rocketship Southside Community Prep,2018-19,100.0,0.0,4,
forward,Gender,Female,math,pct,West Allis-West Milwaukee,Frank Lloyd Wright Intermediate,2018-19,100.0,0.0,19,
forward,Gender,Male,math,pct,West Allis-West Milwaukee,Frank Lloyd Wright Intermediate,2018-19,100.0,0.0,23,
forward,Gender,Female,math,pct,West Allis-West Milwaukee,Franklin Elementary,2018-19,100.0,0.0,3,
forward,Gender,Male,math,pct,West Allis-West Milwaukee,Franklin Elementary,2018-19,100.0,0.0,4,
forward,Disability Status,SwoD,ela,pct,Oak Creek-Franklin Joint,Shepard Hills Elementary,2018-19,100.0,0.0,3,
forward,Gender,Female,math,pct,West Allis-West Milwaukee,Hoover Elementary,2018-19,100.0,0.0,9,
forward,Gender,Male,math,pct,West Allis-West Milwaukee,Hoover Elementary,2018-19,100.0,0.0,15,
forward,Gender,Female,math,pct,West Allis-West Milwaukee,Horace Mann Elementary,2018-19,100.0,0.0,5,
forward,Gender,Male,math,pct,West Allis-West Milwaukee,Horace Mann Elementary,2018-19,100.0,0.0,4,
forward,Disability Status,SwoD,ela,pct,Oak Creek-Franklin Joint,Oak Creek West Middle,2018-19,100.0,0.0,60,
forward,Gender,Female,math,pct,Wauwatosa,Wilson Elementary,2018-19,100.0,0.0,3,
forward,Disability Status,SwD,ela,pct,Oak Creek-Franklin Joint,Oak Creek West Middle,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,West Allis-West Milwaukee,Irving Elementary,2018-19,100.0,0.0,6,
forward,Gender,Female,math,pct,West Allis-West Milwaukee,Jefferson Elementary,2018-19,100.0,0.0,5,
forward,Gender,Male,math,pct,West Allis-West Milwaukee,Jefferson Elementary,2018-19,100.0,0.0,2,
forward,Gender,Female,math,pct,West Allis-West Milwaukee,Lane Intermediate,2018-19,100.0,0.0,10,
forward,Gender,Male,math,pct,West Allis-West Milwaukee,Lane Intermediate,2018-19,100.0,0.0,18,
forward,Disability Status,SwoD,ela,pct,Oak Creek-Franklin Joint,Oak Creek East Middle,2018-19,100.0,0.0,133,
forward,Gender,Female,math,pct,West Allis-West Milwaukee,Longfellow Elementary,2018-19,100.0,0.0,5,
forward,Gender,Male,math,pct,West Allis-West Milwaukee,Longfellow Elementary,2018-19,100.0,0.0,6,
forward,Disability Status,SwoD,ela,pct,Oak Creek-Franklin Joint,Meadowview Elementary,2018-19,100.0,0.0,2,
forward,Disability Status,SwD,ela,pct,Oak Creek-Franklin Joint,Meadowview Elementary,2018-19,100.0,0.0,1,
