metric,dimension,group,unit,district,school,year,cohort_class,value,ext_rate,ext_timeframe,diploma,cohort_count,gap_reason,status_flag
hs_completion,Gender,Male,pct,Milwaukee,Audubon Technology and Communication High,2017-18,2018,64.9123,74.5455,7-Year rate,37.0,57.0,,
hs_completion,Gender,Female,pct,Milwaukee,Audubon Technology and Communication High,2017-18,2018,87.1795,87.1795,7-Year rate,34.0,39.0,,
hs_completion,Gender,Male,pct,Milwaukee,Alliance School of Milwaukee,2017-18,2018,80.9524,78.2609,7-Year rate,17.0,21.0,,
hs_completion,Gender,Male,pct,Milwaukee,Carmen High School of Science and Technology South Campus,2017-18,2018,67.8571,84.6154,7-Year rate,19.0,28.0,,
hs_completion,Gender,Female,pct,Milwaukee Academy of Science,Milwaukee Academy of Science,2017-18,2018,100.0,94.7368,7-Year rate,18.0,18.0,,
hs_completion,ELL Status,Eng Prof,pct,Whitnall,Whitnall High,2017-18,2018,,,,,213.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,ELL Status,Eng Prof,pct,Whitefish Bay,Whitefish Bay High,2017-18,2018,,,,,247.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,Disability Status,SwD,pct,Shorewood,Shorewood High,2017-18,2018,83.3333,94.4444,7-Year rate,15.0,18.0,,
hs_completion,Disability Status,SwoD,pct,Shorewood,New Horizons for Learning,2017-18,2018,,,,,10.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,Disability Status,SwD,pct,Shorewood,New Horizons for Learning,2017-18,2018,,,,,5.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,Disability Status,SwoD,pct,Seeds of Health,Veritas High,2017-18,2018,,,,,72.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,Disability Status,SwD,pct,Seeds of Health,Veritas High,2017-18,2018,,,,,4.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,Disability Status,SwoD,pct,Seeds of Health,Tenor High,2017-18,2018,97.7273,97.7273,7-Year rate,43.0,44.0,,
hs_completion,Disability Status,SwD,pct,Seeds of Health,Tenor High,2017-18,2018,100.0,100.0,7-Year rate,6.0,6.0,,
hs_completion,Disability Status,SwoD,pct,Saint Francis,Saint Francis High,2017-18,2018,91.8699,95.0413,7-Year rate,113.0,123.0,,
hs_completion,Disability Status,SwD,pct,Saint Francis,Saint Francis High,2017-18,2018,90.4762,100.0,7-Year rate,19.0,21.0,,
hs_completion,Disability Status,SwoD,pct,Oak Creek-Franklin Joint,Oak Creek High,2017-18,2018,97.9296,97.9339,7-Year rate,473.0,483.0,,
hs_completion,Disability Status,SwD,pct,Oak Creek-Franklin Joint,Oak Creek High,2017-18,2018,57.5758,84.8485,7-Year rate,19.0,33.0,,
hs_completion,Disability Status,SwoD,pct,Nicolet Union High School,Nicolet High,2017-18,2018,97.6654,99.2126,7-Year rate,251.0,257.0,,
hs_completion,Disability Status,SwD,pct,Nicolet Union High School,Nicolet High,2017-18,2018,79.1667,100.0,7-Year rate,19.0,24.0,,
hs_completion,Disability Status,SwoD,pct,Milwaukee Collegiate Academy,Milwaukee Collegiate Academy,2017-18,2018,87.5,91.4894,5-Year rate,42.0,48.0,,
hs_completion,Disability Status,SwD,pct,Milwaukee Collegiate Academy,Milwaukee Collegiate Academy,2017-18,2018,66.6667,87.5,5-Year rate,6.0,9.0,,
hs_completion,Disability Status,SwoD,pct,Milwaukee Academy of Science,Milwaukee Academy of Science,2017-18,2018,,,,,38.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,Disability Status,SwD,pct,Milwaukee Academy of Science,Milwaukee Academy of Science,2017-18,2018,,,,,3.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,Disability Status,SwoD,pct,Milwaukee,Wisconsin Conservatory of Lifelong Learning,2017-18,2018,44.898,60.5263,7-Year rate,22.0,49.0,,
hs_completion,Disability Status,SwD,pct,Milwaukee,Wisconsin Conservatory of Lifelong Learning,2017-18,2018,25.9259,37.037,7-Year rate,7.0,27.0,,
hs_completion,Disability Status,SwoD,pct,Milwaukee,WHS Information Technology,2017-18,2018,65.1515,68.9394,7-Year rate,86.0,132.0,,
hs_completion,Disability Status,SwD,pct,Milwaukee,WHS Information Technology,2017-18,2018,37.7358,58.0,7-Year rate,20.0,53.0,,
hs_completion,Disability Status,SwoD,pct,Shorewood,Shorewood High,2017-18,2018,97.8417,97.8417,7-Year rate,136.0,139.0,,
hs_completion,Disability Status,SwD,pct,South Milwaukee,South Milwaukee High,2017-18,2018,83.3333,85.3659,7-Year rate,35.0,42.0,,
hs_completion,Disability Status,SwoD,pct,South Milwaukee,South Milwaukee High,2017-18,2018,91.4894,93.9929,7-Year rate,258.0,282.0,,
hs_completion,Disability Status,SwD,pct,Wauwatosa,East High,2017-18,2018,75.0,95.4545,7-Year rate,18.0,24.0,,
hs_completion,ELL Status,ELL/LEP,pct,Escuela Verde,Escuela Verde,2017-18,2018,,,,,4.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,ELL Status,Eng Prof,pct,Cudahy,Cudahy High,2017-18,2018,90.8046,93.6782,5-Year rate,158.0,174.0,,
hs_completion,ELL Status,ELL/LEP,pct,Cudahy,Cudahy High,2017-18,2018,100.0,100.0,5-Year rate,7.0,7.0,,
hs_completion,ELL Status,Eng Prof,pct,Brown Deer,Brown Deer Middle/High,2017-18,2018,95.7983,96.6667,5-Year rate,114.0,119.0,,
hs_completion,ELL Status,ELL/LEP,pct,Brown Deer,Brown Deer Middle/High,2017-18,2018,83.3333,83.3333,5-Year rate,5.0,6.0,,
hs_completion,Disability Status,SwoD,pct,Whitnall,Whitnall High,2017-18,2018,98.9071,99.4565,7-Year rate,181.0,183.0,,
hs_completion,Disability Status,SwD,pct,Whitnall,Whitnall High,2017-18,2018,78.125,90.0,7-Year rate,25.0,32.0,,
hs_completion,Disability Status,SwoD,pct,Whitefish Bay,Whitefish Bay High,2017-18,2018,93.9914,94.4444,7-Year rate,219.0,233.0,,
hs_completion,Disability Status,SwD,pct,Whitefish Bay,Whitefish Bay High,2017-18,2018,68.75,92.8571,7-Year rate,11.0,16.0,,
hs_completion,Disability Status,SwoD,pct,West Allis-West Milwaukee,West Allis-West Milwaukee Learning Center,2017-18,2018,74.4,,,93.0,125.0,,
